datetime,cash,pos,equity,peak,dd
2026-05-18 14:30:00,298094.0,-1,298854.0,300298.0,-0.4808556833545345
2026-05-19 01:00:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-19 01:30:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-19 02:00:00,298094.0,-1,299034.0,300298.0,-0.42091522421061744
2026-05-19 02:45:00,298094.0,-1,299094.0,300298.0,-0.40093507116264515
2026-05-19 03:15:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-19 05:45:00,298094.0,-1,299034.0,300298.0,-0.42091522421061744
2026-05-19 06:15:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-19 06:45:00,298094.0,-1,299094.0,300298.0,-0.40093507116264515
2026-05-19 13:00:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-19 13:30:00,298094.0,-1,299054.0,300298.0,-0.4142551731946267
2026-05-19 14:00:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-19 14:30:00,298094.0,-1,299114.0,300298.0,-0.39427502014665433
2026-05-20 01:00:00,298094.0,-1,299134.0,300298.0,-0.3876149691306635
2026-05-20 01:30:00,298094.0,-1,299174.0,300298.0,-0.374294867098682
2026-05-20 02:00:00,298094.0,-1,299214.0,300298.0,-0.3609747650667004
2026-05-20 02:45:00,298094.0,-1,299254.0,300298.0,-0.34765466303471887
2026-05-20 03:15:00,298094.0,-1,299274.0,300298.0,-0.34099461201872805
2026-05-20 05:45:00,298094.0,-1,299234.0,300298.0,-0.35431471405070963
2026-05-20 06:15:00,298094.0,-1,299274.0,300298.0,-0.34099461201872805
2026-05-20 06:45:00,298094.0,-1,299254.0,300298.0,-0.34765466303471887
2026-05-20 13:00:00,298094.0,-1,299194.0,300298.0,-0.3676348160826912
2026-05-20 13:30:00,298094.0,-1,299214.0,300298.0,-0.3609747650667004
2026-05-20 14:00:00,298094.0,-1,299234.0,300298.0,-0.35431471405070963
2026-05-20 14:30:00,298094.0,-1,299254.0,300298.0,-0.34765466303471887
2026-05-21 01:00:00,298094.0,-1,298974.0,300298.0,-0.44089537725858985
2026-05-21 01:30:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-21 02:00:00,298094.0,-1,298774.0,300298.0,-0.5074958874184976
2026-05-21 02:45:00,298094.0,-1,298834.0,300298.0,-0.48751573437052526
2026-05-21 03:15:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-05-21 05:45:00,298094.0,-1,298894.0,300298.0,-0.46753558132255296
2026-05-21 06:15:00,298094.0,-1,299014.0,300298.0,-0.42757527522660826
2026-05-21 06:45:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-21 13:00:00,298094.0,-1,298914.0,300298.0,-0.46087553030656214
2026-05-21 13:30:00,298094.0,-1,298914.0,300298.0,-0.46087553030656214
2026-05-21 14:00:00,298094.0,-1,298954.0,300298.0,-0.44755542827458056
2026-05-21 14:30:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-05-22 01:00:00,298094.0,-1,298934.0,300298.0,-0.4542154792905714
2026-05-22 01:30:00,298094.0,-1,299034.0,300298.0,-0.42091522421061744
