datetime,open,high,low,close,volume,open_interest
2026-06-01 05:36:00,1056,1056,1055,1056,453,1335288
2026-06-01 05:37:00,1056,1056,1055,1055,547,1335446
2026-06-01 05:38:00,1055,1056,1055,1055,602,1335356
2026-06-01 05:39:00,1055,1056,1055,1056,323,1335246
2026-06-01 05:40:00,1056,1056,1055,1055,2279,1334641
2026-06-01 05:41:00,1055,1055,1054,1055,636,1334647
2026-06-01 05:42:00,1055,1056,1054,1056,1736,1334068
2026-06-01 05:43:00,1056,1056,1055,1055,351,1334228
2026-06-01 05:44:00,1055,1057,1055,1057,1865,1334372
2026-06-01 05:45:00,1057,1057,1056,1057,336,1334293
2026-06-01 05:46:00,1057,1057,1056,1057,402,1334286
2026-06-01 05:47:00,1057,1058,1056,1058,2340,1334442
2026-06-01 05:48:00,1058,1058,1057,1058,605,1334737
2026-06-01 05:49:00,1058,1061,1057,1060,19993,1341878
2026-06-01 05:50:00,1060,1060,1058,1059,4808,1341932
2026-06-01 05:51:00,1059,1060,1059,1060,2193,1342560
2026-06-01 05:52:00,1060,1061,1060,1060,8882,1345546
2026-06-01 05:53:00,1060,1061,1059,1059,4114,1344919
2026-06-01 05:54:00,1059,1060,1059,1060,1122,1344639
2026-06-01 05:55:00,1060,1060,1059,1060,881,1344505
2026-06-01 05:56:00,1060,1060,1058,1058,3874,1345150
2026-06-01 05:57:00,1058,1059,1058,1058,896,1345067
2026-06-01 05:58:00,1058,1060,1058,1059,5981,1344712
2026-06-01 05:59:00,1059,1060,1058,1059,2615,1344016
2026-06-01 06:00:00,1059,1060,1058,1060,2253,1344052
2026-06-01 06:01:00,1060,1060,1059,1059,940,1343924
2026-06-01 06:02:00,1059,1060,1059,1060,942,1344189
2026-06-01 06:03:00,1060,1060,1059,1060,2534,1344282
2026-06-01 06:04:00,1060,1060,1059,1059,847,1344290
2026-06-01 06:05:00,1059,1060,1058,1058,2919,1344157
2026-06-01 06:06:00,1058,1059,1058,1058,1349,1345186
2026-06-01 06:07:00,1058,1059,1057,1057,4005,1344182
2026-06-01 06:08:00,1057,1058,1057,1058,887,1344073
2026-06-01 06:09:00,1058,1058,1057,1057,402,1344013
2026-06-01 06:10:00,1057,1058,1057,1058,779,1343870
2026-06-01 06:11:00,1058,1058,1057,1057,2482,1342699
2026-06-01 06:12:00,1057,1058,1057,1057,2075,1342493
2026-06-01 06:13:00,1057,1058,1057,1057,401,1342319
2026-06-01 06:14:00,1057,1058,1057,1058,335,1342300
2026-06-01 06:15:00,1058,1058,1057,1058,807,1342517
2026-06-01 06:16:00,1058,1058,1057,1057,824,1342473
2026-06-01 06:17:00,1057,1058,1057,1057,974,1342179
2026-06-01 06:18:00,1057,1058,1056,1056,2911,1340810
2026-06-01 06:19:00,1056,1057,1054,1055,10762,1341767
2026-06-01 06:20:00,1055,1055,1054,1054,2533,1341551
2026-06-01 06:21:00,1054,1056,1054,1054,5472,1339883
2026-06-01 06:22:00,1054,1055,1054,1054,2675,1339935
2026-06-01 06:23:00,1054,1055,1053,1053,3830,1338608
2026-06-01 06:24:00,1053,1053,1051,1052,9738,1337589
2026-06-01 06:25:00,1052,1054,1052,1054,4037,1336811
2026-06-01 06:26:00,1054,1054,1052,1054,3852,1336119
2026-06-01 06:27:00,1054,1055,1053,1055,3170,1335942
2026-06-01 06:28:00,1055,1055,1054,1055,653,1335881
2026-06-01 06:29:00,1055,1055,1054,1054,644,1335799
2026-06-01 06:30:00,1054,1056,1054,1055,4361,1335021
2026-06-01 06:31:00,1055,1055,1054,1054,560,1334976
2026-06-01 06:32:00,1054,1055,1054,1055,538,1334944
2026-06-01 06:33:00,1055,1055,1054,1054,500,1334995
2026-06-01 06:34:00,1054,1056,1054,1055,1407,1335479
2026-06-01 06:35:00,1055,1056,1055,1056,599,1335232
2026-06-01 06:36:00,1056,1056,1054,1055,2040,1335229
2026-06-01 06:37:00,1055,1055,1054,1055,456,1335316
2026-06-01 06:38:00,1055,1055,1053,1054,2689,1334696
2026-06-01 06:39:00,1054,1055,1053,1054,1175,1334361
2026-06-01 06:40:00,1054,1055,1054,1054,641,1334430
2026-06-01 06:41:00,1054,1055,1054,1054,367,1334579
2026-06-01 06:42:00,1054,1055,1054,1055,543,1334489
2026-06-01 06:43:00,1055,1056,1055,1055,2584,1334940
2026-06-01 06:44:00,1055,1056,1054,1055,1676,1334692
2026-06-01 06:45:00,1055,1056,1054,1056,1436,1334853
2026-06-01 06:46:00,1056,1056,1055,1055,1089,1334551
2026-06-01 06:47:00,1055,1056,1055,1055,872,1334353
2026-06-01 06:48:00,1055,1056,1054,1055,1546,1334268
2026-06-01 06:49:00,1055,1056,1054,1055,2015,1334503
2026-06-01 06:50:00,1055,1056,1055,1056,770,1334302
2026-06-01 06:51:00,1056,1057,1055,1056,2607,1334468
2026-06-01 06:52:00,1056,1057,1055,1056,2793,1333734
2026-06-01 06:53:00,1056,1056,1055,1056,991,1333885
2026-06-01 06:54:00,1056,1056,1055,1055,986,1334064
2026-06-01 06:55:00,1055,1056,1055,1056,1301,1334053
2026-06-01 06:56:00,1056,1056,1055,1055,1430,1333788
2026-06-01 06:57:00,1055,1056,1055,1055,2306,1333080
2026-06-01 06:58:00,1055,1056,1055,1055,3920,1331750
2026-06-01 06:59:00,1055,1057,1055,1056,6490,1329631
2026-06-01 13:00:00,1058,1058,1051,1052,24320,1330489
2026-06-01 13:01:00,1052,1053,1052,1053,5592,1331505
2026-06-01 13:02:00,1053,1053,1050,1052,13500,1329318
2026-06-01 13:03:00,1052,1052,1049,1050,13366,1329314
