date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2024-07-03,1,53700.0,5.37,145.8712180479779,-3231.432574677574,-3085.561356629596,-3090.931356629596
2024-07-04,0,0.0,0.0,0.0,5510.4429168185015,5510.4429168185015,5510.4429168185015
2024-07-05,0,0.0,0.0,0.0,30613.57176010317,30613.57176010317,30613.57176010317
2024-07-08,1,103745.993187016,10.374599318701602,2108.934943473778,18368.143056061836,20477.077999535613,20466.703400216913
2024-07-09,0,0.0,0.0,0.0,-6122.714352020739,-6122.714352020739,-6122.714352020739
2024-07-10,0,0.0,0.0,0.0,26531.762192089445,26531.762192089445,26531.762192089445
2024-07-11,1,50002.167208168365,5.000216720816836,170.07539866723164,-680.3015946690721,-510.22619600184044,-515.2264127226573
2024-07-12,0,0.0,0.0,0.0,-5714.5333952190595,-5714.5333952190595,-5714.5333952190595
2024-07-15,0,0.0,0.0,0.0,12143.383464840836,12143.383464840836,12143.383464840836
2024-07-16,1,49500.0,4.95,42.074067566800295,1428.6333488048604,1470.7074163716607,1465.7574163716606
2024-07-17,0,0.0,0.0,0.0,11224.976312037688,11224.976312037688,11224.976312037688
2024-07-18,0,0.0,0.0,0.0,-14966.635082716984,-14966.635082716984,-14966.635082716984
2024-07-19,1,49321.86561349941,4.932186561349941,-238.10555813413885,11973.308066173668,11735.202508039529,11730.27032147818
2024-07-22,1,49060.0,4.906000000000001,486.4661406364394,10714.750116035975,11201.216256672415,11196.310256672414
2024-07-23,0,0.0,0.0,0.0,16463.298590988743,16463.298590988743,16463.298590988743
2024-07-24,1,47995.27750389495,4.799527750389495,-544.2412757351576,-15714.966836852764,-16259.208112587921,-16264.00764033831
2024-07-25,1,48560.0,4.856,-530.7074163716061,11735.202508039401,11204.495091667795,11199.639091667796
2024-07-26,1,48029.2925836284,4.80292925836284,748.331754135852,16463.298590988743,17211.630345124595,17206.82741586623
2024-07-29,1,47260.0,4.726,1645.7780774464027,38334.994859595725,39980.77293704213,39976.04693704213
2024-07-30,1,46056.417959088416,4.605641795908841,272.12063786757426,-4081.8095680137776,-3809.6889301462033,-3814.2945719421123
2024-07-31,0,0.0,0.0,0.0,-24660.932806749544,-24660.932806749544,-24660.932806749544
2024-08-01,1,46800.0,4.680000000000001,-981.6875990457174,23810.55581341343,22828.868214367714,22824.188214367714
2024-08-02,1,45920.35764015462,4.5920357640154625,-714.3166744024074,-19592.685926466,-20307.002600868407,-20311.594636632424
2024-08-05,1,46532.62907535669,4.653262907535669,-510.2261960017222,15306.78588005162,14796.559684049898,14791.906421142363
2024-08-06,1,46000.0,4.6000000000000005,589.868555847097,14694.514444849556,15284.383000696653,15279.783000696652
2024-08-07,1,45400.0,4.54,772.2153897163935,19558.670846732413,20330.88623644881,20326.346236448808
2024-08-08,0,0.0,0.0,0.0,13265.881096044777,13265.881096044777,13265.881096044777
2024-08-09,1,44389.67905214947,4.438967905214947,-102.04523920034262,-9728.312803766075,-9830.358042966418,-9834.797010871633
2024-08-12,0,0.0,0.0,0.0,3673.6286112122525,3673.6286112122525,3673.6286112122525
2024-08-13,0,0.0,0.0,0.0,33981.0646537145,33981.0646537145,33981.0646537145
2024-08-14,0,0.0,0.0,0.0,23878.585972880253,23878.585972880253,23878.585972880253
2024-08-15,1,84493.4580578845,8.44934580578845,-136.06031893379622,-2755.2214584092508,-2891.281777343047,-2899.7311231488356
2024-08-16,0,0.0,0.0,0.0,4932.186561349981,4932.186561349981,4932.186561349981
2024-08-19,1,42144.68378974191,4.214468378974191,204.09047840068524,5918.623873619872,6122.714352020557,6118.499883641583
2024-08-20,0,0.0,0.0,0.0,-19736.749793028048,-19736.749793028048,-19736.749793028048
2024-08-21,1,42620.0,4.2620000000000005,899.5332948084797,-27631.449710989546,-26731.916416181066,-26736.178416181065
2024-08-22,1,43453.74412882993,4.345374412882993,-1874.9912303885685,56282.63149464641,54407.64026425785,54403.29488984496
2024-08-23,1,83120.0,8.312000000000001,817.7533608383783,11973.628208095433,12791.381568933812,12783.069568933812
2024-08-26,1,41151.12331958081,4.115112331958081,65.78916597854914,1973.674979356474,2039.4641453350232,2035.3490330030652
2024-08-27,0,0.0,0.0,0.0,-16315.71316267934,-16315.71316267934,-16315.71316267934
2024-08-28,1,41447.17456648426,4.144717456648427,-263.15666391418745,13256.516944677087,12993.3602807629,12989.21556330625
2024-08-29,1,41160.0,4.1160000000000005,-320.06914947353835,-8881.53740710386,-9201.606556577399,-9205.722556577399
2024-08-30,1,41480.06914947354,4.148006914947354,98.6837489678237,-3059.196218002535,-2960.512469034711,-2964.6604759496586
2024-09-02,0,0.0,0.0,0.0,84868.02411232496,84868.02411232496,84868.02411232496
2024-09-03,1,194078.03963671203,19.407803963671203,6085.497853015545,34539.31213873693,40624.809991752474,40605.4021877888
2024-09-04,1,75328.59504543568,7.532859504543568,1381.5724855494682,21874.897687866633,23256.4701734161,23248.937313911556
2024-09-05,1,37302.45710983584,3.7302457109835845,263.15666391418745,-2434.1991412061498,-2171.0424772919623,-2174.772723002946
2024-09-06,0,0.0,0.0,0.0,3749.982460777128,3749.982460777128,3749.982460777128
2024-09-09,0,0.0,0.0,0.0,6249.970767961995,6249.970767961995,6249.970767961995
2024-09-10,0,0.0,0.0,0.0,39999.81291495614,39999.81291495614,39999.81291495614
2024-09-11,1,107100.0,10.71,-366.6026259556338,-3749.982460777128,-4116.585086732762,-4127.295086732762
2024-09-12,1,35840.0,3.584,-1366.477027241658,55295.79400496831,53929.31697772665,53925.73297772665
2024-09-13,1,137894.09189103337,13.789409189103338,3552.614962841508,35526.14962841508,39078.764591256586,39064.97518206748
2024-09-18,1,67120.0,6.712000000000001,-642.8409579028448,-13026.254863752129,-13669.095821654973,-13675.807821654973
2024-09-19,1,33881.42047895142,3.388142047895142,1282.8887365816581,-59012.88188275627,-57729.99314617462,-57733.38128822251
2024-09-20,1,105196.87639969579,10.519687639969579,-2763.1449710989546,45887.94327003618,43124.798298937225,43114.27861129725
2024-09-23,1,68240.0,6.824000000000001,-1628.0942692163353,-33157.739653187426,-34785.83392240376,-34792.65792240376
2024-09-24,1,69920.0,6.992,3434.920066079294,-76710.16753098508,-73275.24746490578,-73282.23946490578
